DATE CREATED
2020-04-01T18:52:59+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
"Omega Interchangeable Thermistors - ON-950-440005, 3000 Ohm @ 25 deg C #DVY1"

UOM DEFINITIONS
Degrees Celsius

STATION
Davies Reef
LATITUDE
-18.83162
LONGITUDE
147.6345

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_13_14,wtemp_LEVEL1_summer_14_15,wtemp_LEVEL1_summer_15_16,wtemp_LEVEL1_summer_16_17,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
01-NOV,15,26.151494444444445,26.5285,25.5756,25.5973,26.8957,26.834,26.9164,25.7326
02-NOV,15,26.16075,26.4927,25.8042,25.5601,27.034,26.8664,26.8219,25.8798
03-NOV,15,26.217994444444443,26.1831,25.864,25.6849,27.147,26.9276,26.6176,25.936
04-NOV,15,26.181144444444445,26.2227,25.8554,25.9199,27.1973,26.8672,26.6247,25.9828
05-NOV,15,26.157414348462666,26.268,25.7054,26.0413,27.1519,26.8833,26.7544,26.0139
06-NOV,14,26.20852380952381,26.2358,25.676,26.0558,27.2819,26.8185,26.8204,26.0643
07-NOV,14,26.314788690476192,26.1487,25.7788,26.1027,27.3216,26.919,26.826,26.1629
08-NOV,14,26.436071428571427,26.1781,26.02,26.3085,27.4365,27.0958,26.851,26.2399
09-NOV,14,26.52306994047619,26.2406,26.1994,26.495,27.3521,26.7226,26.7355,26.2936
10-NOV,14,26.53139046199702,26.327,26.1632,26.4903,27.5433,26.2414,26.7074,26.3363
11-NOV,14,26.50956994047619,26.4972,26.0935,26.5857,27.691,26.0558,26.6464,26.4474
12-NOV,14,26.545175595238096,26.6298,26.2808,26.7119,27.8163,26.02,26.5978,26.4061
13-NOV,14,26.56125,26.6426,26.3924,26.8391,27.7174,26.0133,26.5449,26.3939
14-NOV,14,26.598427083333334,26.6338,26.4324,26.9213,27.5136,26.0707,26.6604,26.3972
15-NOV,14,26.608831845238097,26.7825,26.5096,26.8788,27.3431,26.1897,26.6711,26.3813
16-NOV,14,26.68433035714286,26.9462,26.6187,27.0172,27.1178,26.2747,26.9627,26.4229
17-NOV,14,26.695276785714285,26.8928,26.6963,27.2721,26.9343,26.3753,27.1253,26.638
18-NOV,14,26.715040178571428,26.8997,26.8112,27.24,26.7556,26.4859,27.238,26.5561
19-NOV,15,26.75264487369985,27.0744,26.8894,26.8812,26.8349,26.6566,27.2364,26.6181
20-NOV,14,26.785560121765602,27.0511,26.9425,26.5767,26.9088,26.7372,27.3063,26.7035
21-NOV,14,26.812813169984686,27.3141,26.9223,26.4381,26.9059,26.4197,27.3406,26.6859
22-NOV,14,26.837267964071856,27.544,27.0787,26.6003,26.9572,26.1361,27.3468,26.4456
23-NOV,14,26.87994768310912,27.2405,27.1687,26.7494,27.1372,26.3638,27.3922,26.4859
24-NOV,14,26.866514157973175,27.209,27.2283,26.8839,27.3073,26.6316,27.5874,26.5966
25-NOV,14,26.881366071428573,27.1277,27.1116,26.9013,27.4923,26.8356,27.8001,26.7142
26-NOV,14,26.874473214285715,27.3761,27.1386,27.0208,27.5499,26.9372,27.9197,26.7684
27-NOV,14,26.882004464285714,27.5667,27.0647,27.2032,27.4678,27.0222,27.7975,26.819
28-NOV,14,26.94616369047619,27.3639,27.1034,27.382,27.3597,26.8658,27.9824,26.6981
29-NOV,14,26.996949404761907,27.2095,27.1077,27.5196,27.321,26.9501,28.0284,26.6222
30-NOV,15,27.02356811594203,27.3426,26.9682,27.5473,27.6031,27.1153,28.1512,26.7613
01-DEC,15,27.14921325648415,27.4711,26.9935,27.5182,27.86,27.2761,28.2523,26.9885
02-DEC,15,27.255368804664723,27.1008,27.2067,27.616,27.9574,27.3264,28.3656,27.1283
03-DEC,15,27.209912921348316,26.7825,27.2613,27.611,27.9682,27.4651,28.371,27.2117
04-DEC,15,27.24848888888889,26.8097,27.2102,27.6553,27.9085,27.669,28.3831,27.4933
05-DEC,15,27.318204166666668,26.9765,27.2415,27.6216,27.9447,27.712,28.3417,27.8856
06-DEC,15,27.408733612273362,27.3919,27.2439,27.5829,27.9651,27.7878,27.8308,27.9286
07-DEC,15,27.466758333333335,27.4399,27.2513,27.6442,27.9853,27.9142,27.1938,27.9494
08-DEC,15,27.486197222222224,27.4051,27.4188,27.6467,28.139,28.0903,26.9701,27.8315
09-DEC,15,27.499797222222224,27.0894,27.7162,27.6841,28.3275,28.1981,27.1919,27.648
10-DEC,15,27.52089707927677,27.1105,28.1049,27.7675,28.3897,28.2056,27.1903,27.3545
11-DEC,15,27.59657361111111,27.3635,28.4071,27.9228,28.1325,28.0158,27.2635,27.3392
12-DEC,15,27.61399861111111,27.6912,28.1018,27.9944,27.8563,27.8262,27.4542,27.4119
13-DEC,15,27.62483472222222,27.8593,28.1062,27.9574,27.7444,27.688,27.7988,27.7001
14-DEC,15,27.62732638888889,27.829,28.3665,27.9947,27.8317,27.7103,28.1735,27.5308
15-DEC,15,27.665748611111113,27.8348,28.3391,28.0522,28.0092,27.8123,28.1238,27.6558
16-DEC,15,27.71292083333333,27.6423,28.3827,28.0465,28.1872,27.9078,28.2098,27.916
17-DEC,15,27.783922222222223,27.3935,28.4661,28.0251,28.2847,28.0169,27.9285,27.9761
18-DEC,15,27.770227019498606,27.2746,28.4512,27.9942,28.3992,28.0226,28.3053,28.0016
19-DEC,15,27.745384722222223,27.1444,28.4515,27.7797,28.4392,28.1252,28.4044,27.7128
20-DEC,15,27.734851388888888,27.0028,28.3183,27.6106,28.5117,28.1633,28.3312,27.506
21-DEC,15,27.717494444444444,27.059,28.1235,27.5246,28.4381,28.192,28.3863,27.3633
22-DEC,15,27.663890277777778,27.0358,28.0608,27.6183,28.4445,28.2877,28.4726,27.3801
23-DEC,15,27.719345833333332,27.1272,27.8187,27.7365,28.3374,28.3193,28.3817,27.5375
24-DEC,15,27.7832,27.3933,27.641,27.7576,28.1831,28.3762,28.0025,27.6394
25-DEC,15,27.887075,27.6526,27.7121,27.9076,28.1237,28.4384,27.5988,27.9606
26-DEC,15,27.973672222222223,27.7741,27.8193,28.1767,28.2566,28.4203,27.5315,28.219
27-DEC,15,28.04036034732272,27.9269,28.2029,28.4199,28.3236,28.4631,27.6624,28.1797
28-DEC,14,28.07664732142857,28.0664,28.7189,28.4465,28.3398,28.5975,27.7441,28.1004
29-DEC,14,28.089043154761903,28.1106,28.7814,28.2756,28.3263,28.6307,27.9289,27.9266
30-DEC,14,28.072041666666667,28.0683,29.0863,27.7035,28.4974,28.744,27.9988,27.9664
31-DEC,14,27.859069105691056,28.0809,29.2292,27.7619,28.6774,28.8638,27.7876,28.206
01-JAN,14,27.960184962406014,28.0505,29.1233,27.8399,28.9243,28.9015,27.8069,28.2619
02-JAN,14,27.99974107142857,28.0788,28.9646,27.9539,28.9797,28.7277,27.8628,28.3511
03-JAN,14,28.108614583333335,28.1483,28.8192,28.0642,29.2275,28.7006,27.8672,28.4335
04-JAN,15,28.20316903409091,28.2215,28.6378,28.2128,29.4347,28.8727,27.9533,28.4203
05-JAN,15,28.259874125874127,28.3495,28.4938,28.3834,29.3281,28.755,27.949,28.4208
06-JAN,15,28.321436764705883,28.3844,28.1474,28.5119,29.212,28.6578,28.0756,28.5943
07-JAN,15,28.357220170454546,28.5774,27.8804,28.6972,29.1706,28.6227,28.1734,28.6383
08-JAN,15,28.359838383838383,28.6295,27.9194,28.805,28.8289,28.5465,28.1926,28.6247
09-JAN,14,28.298473214285714,28.5713,27.9621,28.8824,28.6878,28.557,28.161,28.6217
10-JAN,15,28.307492176386912,28.5063,27.9867,28.7358,28.6899,28.651,28.3008,28.5265
11-JAN,15,28.340415277777776,28.3611,28.1228,28.6094,28.7732,28.7135,28.4413,28.5678
12-JAN,15,28.305022222222224,28.142,28.3259,28.5847,28.9274,28.7642,28.2739,28.6272
13-JAN,15,28.283318055555554,27.9835,28.6248,28.5224,29.0109,28.8637,28.1152,28.6906
