SUMMER-BEGINNING,TEMPERATURE,THRESHOLD-DAYS,ACTUAL-DAYS
2016-11-01T00:00:00,29.5,21.0,2
2016-11-01T00:00:00,29.6,17.0,1
2016-11-01T00:00:00,29.7,13.0,0
2016-11-01T00:00:00,29.8,9.0,0
2016-11-01T00:00:00,29.9,6.0,0
2016-11-01T00:00:00,30.0,3.0,0
2016-11-01T00:00:00,30.1,1.0,0
2016-11-01T00:00:00,30.2,0.0,0
2016-11-01T00:00:00,30.3,0.0,0
2016-11-01T00:00:00,30.4,0.0,0
2017-11-01T00:00:00,29.5,21.0,0
2017-11-01T00:00:00,29.6,17.0,0
2017-11-01T00:00:00,29.7,13.0,0
2017-11-01T00:00:00,29.8,9.0,0
2017-11-01T00:00:00,29.9,6.0,0
2017-11-01T00:00:00,30.0,3.0,0
2017-11-01T00:00:00,30.1,1.0,0
2017-11-01T00:00:00,30.2,0.0,0
2017-11-01T00:00:00,30.3,0.0,0
2017-11-01T00:00:00,30.4,0.0,0
2018-11-01T00:00:00,29.5,21.0,0
2018-11-01T00:00:00,29.6,17.0,0
2018-11-01T00:00:00,29.7,13.0,0
2018-11-01T00:00:00,29.8,9.0,0
2018-11-01T00:00:00,29.9,6.0,0
2018-11-01T00:00:00,30.0,3.0,0
2018-11-01T00:00:00,30.1,1.0,0
2018-11-01T00:00:00,30.2,0.0,0
2018-11-01T00:00:00,30.3,0.0,0
2018-11-01T00:00:00,30.4,0.0,0
2019-11-01T00:00:00,29.5,21.0,3
2019-11-01T00:00:00,29.6,17.0,3
2019-11-01T00:00:00,29.7,13.0,3
2019-11-01T00:00:00,29.8,9.0,1
2019-11-01T00:00:00,29.9,6.0,0
2019-11-01T00:00:00,30.0,3.0,0
2019-11-01T00:00:00,30.1,1.0,0
2019-11-01T00:00:00,30.2,0.0,0
2019-11-01T00:00:00,30.3,0.0,0
2019-11-01T00:00:00,30.4,0.0,0
