
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_13_14,wtemp_LEVEL1_summer_14_15,wtemp_LEVEL1_summer_15_16,wtemp_LEVEL1_summer_16_17,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
01-NOV,13,26.445458333333335,26.3197,25.7231,24.8139,26.2906,26.4972,26.4163,25.3079
02-NOV,13,26.445858814102564,26.2919,25.8502,24.9437,26.398,26.449,26.38,25.413
03-NOV,13,26.475168327974277,26.2457,25.9585,25.045,26.41,26.2918,26.4294,25.5023
04-NOV,13,26.503058814102562,26.213,26.0089,25.1342,26.4877,26.2253,26.4527,25.4883
05-NOV,13,26.58406987179487,26.2216,25.9878,25.2766,26.6394,26.0784,26.4753,25.5054
06-NOV,13,26.64797980769231,26.0636,26.0008,25.4108,26.6977,26.0478,26.4965,25.6444
07-NOV,13,26.695701926163725,26.0436,26.0175,25.471,26.7944,26.1706,26.5146,25.6459
08-NOV,13,26.77708205128205,26.054,25.9962,25.6167,26.8029,26.3162,26.6238,25.6405
09-NOV,13,26.803320338983053,26.0616,26.0067,25.7483,26.8599,26.22,26.6241,25.786
10-NOV,13,26.86557673992674,26.1646,25.9843,25.8476,26.9697,26.158,26.5385,25.8829
11-NOV,12,26.8619669793621,26.3414,25.9494,25.8465,27.1456,26.0984,26.5832,25.9192
12-NOV,11,26.817026515151515,26.4234,26.0386,25.7467,27.2835,26.131,26.6366,25.761
13-NOV,12,26.88629263913824,26.4824,26.1851,25.7149,27.296,26.1119,26.7057,25.8473
14-NOV,12,26.907833854166668,26.5499,26.2376,25.8262,27.4505,26.1271,26.7387,26.0263
15-NOV,12,26.931814583333335,26.6041,26.1273,26.0366,27.1713,26.1916,26.8935,26.0593
16-NOV,12,26.954555729166668,26.7073,,26.1952,26.9605,26.2493,26.9108,26.1469
17-NOV,12,26.93912673611111,26.7757,,26.3552,26.8669,26.2537,26.8913,26.2481
18-NOV,12,26.90824982638889,26.9988,,26.3336,26.8621,26.2489,26.9648,26.3224
