date,AirTempMax,WaterTempMax
20060101,28.333,28.446
20060102,28.308,28.571
20060103,28.045,28.483
20060104,28.245,28.646
20060105,28.521,28.846
20060106,29.76,28.859
20060107,29.961,29.347
20060108,29.322,29.109
20060109,28.734,28.759
20060110,28.245,28.984
20060111,28.195,28.333
20060112,28.02,28.395
20060113,28.157,28.533
20060114,28.057,28.646
20060115,28.295,28.658
20060116,28.383,28.721
20060117,28.082,28.759
20060118,28.345,29.059
20060119,28.483,29.247
20060120,28.596,29.36
20060121,28.683,29.435
20060122,28.633,29.485
20060123,28.771,29.71
20060124,29.009,29.685
20060125,28.32,29.522
20060126,27.218,29.109
20060127,27.619,28.658
20060128,28.245,28.42
20060129,28.295,28.183
20060130,28.157,28.583
20060131,30.186,28.746
20060201,29.122,28.946
20060202,30.161,29.222
20060203,29.41,29.034
20060204,28.771,29.084
20060205,28.984,29.172
20060206,28.759,29.197
20060207,28.959,29.435
20060208,28.608,29.472
20060209,28.345,29.31
20060210,28.283,29.372
20060211,28.446,29.548
20060212,28.759,29.522
20060213,28.658,29.635
20060214,29.009,29.66
20060215,28.909,29.573
20060216,28.583,29.385
20060217,28.42,29.435
20060218,28.42,29.347
20060219,28.471,29.535
20060220,28.583,29.61
20060221,28.671,29.485
20060222,28.621,29.347
20060223,28.521,29.172
20060224,28.37,29.009
20060225,28.27,28.984
20060226,28.483,29.009
20060227,28.233,29.147
20060228,28.07,29.072
20060301,27.982,28.971
20060302,27.844,28.934
20060303,27.719,28.721
20060304,28.208,29.022
20060305,28.295,28.759
20060306,28.045,28.771
20060307,28.17,28.683
20060308,28.671,29.084
20060309,28.696,29.272
20060310,28.521,28.997
20060311,28.345,28.834
20060312,28.22,28.734
20060313,28.195,28.558
20060314,27.932,28.433
20060315,28.233,28.295
20060316,27.907,28.408
20060317,27.569,28.546
20060318,27.819,28.446
20060319,27.732,28.17
20060320,28.145,28.032
20060321,27.794,28.082
20060322,27.757,28.082
20060323,27.431,28.082
20060324,26.955,27.995
