,Date,SST@90th_HS,Year
0,12/1/2015,27.99,2015-16
1,12/2/2015,27.76,2015-16
2,12/3/2015,27.88,2015-16
3,12/4/2015,27.83,2015-16
4,12/5/2015,28.14,2015-16
5,12/6/2015,27.95,2015-16
6,12/7/2015,28.24,2015-16
7,12/8/2015,28.62,2015-16
8,12/9/2015,28.05,2015-16
9,12/10/2015,28.27,2015-16
10,12/11/2015,28.48,2015-16
11,12/12/2015,27.84,2015-16
12,12/13/2015,27.64,2015-16
13,12/14/2015,28.38,2015-16
14,12/15/2015,28.37,2015-16
15,12/16/2015,28.27,2015-16
16,12/17/2015,28.27,2015-16
17,12/18/2015,27.97,2015-16
18,12/19/2015,27.91,2015-16
19,12/20/2015,27.91,2015-16
20,12/21/2015,27.51,2015-16
21,12/22/2015,27.93,2015-16
22,12/23/2015,27.56,2015-16
23,12/24/2015,28.06,2015-16
24,12/25/2015,28.06,2015-16
25,12/26/2015,28.3,2015-16
26,12/27/2015,28.25,2015-16
27,12/28/2015,28.15,2015-16
28,12/29/2015,27.84,2015-16
29,12/30/2015,28.35,2015-16
30,12/31/2015,28.13,2015-16
31,1/1/2016,28.21,2015-16
32,1/2/2016,28.06,2015-16
33,1/3/2016,27.76,2015-16
34,1/4/2016,28.26,2015-16
35,1/5/2016,28.82,2015-16
36,1/6/2016,28.91,2015-16
37,1/7/2016,28.87,2015-16
38,1/8/2016,29.05,2015-16
39,1/9/2016,29.23,2015-16
40,1/10/2016,28.9,2015-16
41,1/11/2016,28.94,2015-16
42,1/12/2016,29.04,2015-16
43,1/13/2016,29.14,2015-16
44,1/14/2016,29.01,2015-16
45,1/15/2016,29.03,2015-16
46,1/16/2016,29.11,2015-16
47,1/17/2016,29.13,2015-16
48,1/18/2016,28.69,2015-16
49,1/19/2016,29.06,2015-16
50,1/20/2016,28.99,2015-16
51,1/21/2016,29.08,2015-16
52,1/22/2016,29.13,2015-16
53,1/23/2016,29.49,2015-16
54,1/24/2016,29.13,2015-16
55,1/25/2016,28.9,2015-16
56,1/26/2016,29.05,2015-16
57,1/27/2016,29.28,2015-16
58,1/28/2016,29.43,2015-16
59,1/29/2016,29.3,2015-16
60,1/30/2016,29.33,2015-16
61,1/31/2016,29.48,2015-16
62,2/1/2016,29.05,2015-16
63,2/2/2016,30.0,2015-16
64,2/3/2016,29.36,2015-16
65,2/4/2016,29.4,2015-16
66,2/5/2016,29.62,2015-16
67,2/6/2016,29.29,2015-16
68,2/7/2016,29.33,2015-16
69,2/8/2016,28.77,2015-16
70,2/9/2016,29.21,2015-16
71,2/10/2016,29.27,2015-16
72,2/11/2016,29.34,2015-16
73,2/12/2016,29.3,2015-16
74,2/13/2016,29.49,2015-16
75,2/14/2016,30.17,2015-16
76,2/15/2016,29.73,2015-16
77,2/16/2016,29.96,2015-16
78,2/17/2016,30.3,2015-16
79,2/18/2016,30.0,2015-16
80,2/19/2016,29.87,2015-16
81,2/20/2016,30.31,2015-16
82,2/21/2016,30.02,2015-16
83,2/22/2016,29.96,2015-16
84,2/23/2016,29.58,2015-16
85,2/24/2016,29.5,2015-16
86,2/25/2016,29.07,2015-16
87,2/26/2016,29.59,2015-16
88,2/27/2016,29.48,2015-16
89,2/28/2016,30.31,2015-16
90,2/29/2016,30.46,2015-16
91,3/1/2016,30.47,2015-16
92,3/2/2016,29.64,2015-16
93,3/3/2016,29.54,2015-16
94,3/4/2016,29.12,2015-16
95,3/5/2016,29.06,2015-16
96,3/6/2016,29.17,2015-16
97,3/7/2016,29.77,2015-16
98,3/8/2016,28.87,2015-16
99,3/9/2016,28.8,2015-16
100,3/10/2016,28.87,2015-16
101,3/11/2016,28.96,2015-16
102,3/12/2016,28.61,2015-16
103,3/13/2016,28.69,2015-16
104,3/14/2016,28.69,2015-16
105,3/15/2016,28.51,2015-16
106,3/16/2016,28.72,2015-16
107,3/17/2016,28.73,2015-16
108,3/18/2016,28.46,2015-16
109,3/19/2016,28.49,2015-16
110,3/20/2016,28.41,2015-16
111,3/21/2016,29.22,2015-16
112,3/22/2016,29.34,2015-16
113,3/23/2016,29.52,2015-16
114,3/24/2016,29.03,2015-16
115,3/25/2016,29.11,2015-16
116,3/26/2016,29.03,2015-16
117,3/27/2016,29.03,2015-16
118,3/28/2016,29.0,2015-16
119,3/29/2016,28.73,2015-16
120,3/30/2016,28.81,2015-16
121,3/31/2016,28.67,2015-16
122,12/1/2016,28.33,2016-17
123,12/2/2016,28.48,2016-17
124,12/3/2016,28.21,2016-17
125,12/4/2016,28.21,2016-17
126,12/5/2016,28.74,2016-17
127,12/6/2016,28.22,2016-17
128,12/7/2016,28.15,2016-17
129,12/8/2016,28.67,2016-17
130,12/9/2016,28.32,2016-17
131,12/10/2016,28.37,2016-17
132,12/11/2016,28.17,2016-17
133,12/12/2016,28.34,2016-17
134,12/13/2016,28.05,2016-17
135,12/14/2016,28.13,2016-17
136,12/15/2016,28.21,2016-17
137,12/16/2016,28.38,2016-17
138,12/17/2016,28.33,2016-17
139,12/18/2016,28.37,2016-17
140,12/19/2016,28.51,2016-17
141,12/20/2016,28.6,2016-17
142,12/21/2016,28.48,2016-17
143,12/22/2016,28.18,2016-17
144,12/23/2016,28.52,2016-17
145,12/24/2016,28.46,2016-17
146,12/25/2016,28.3,2016-17
147,12/26/2016,28.45,2016-17
148,12/27/2016,28.71,2016-17
149,12/28/2016,28.56,2016-17
150,12/29/2016,28.49,2016-17
151,12/30/2016,28.85,2016-17
152,12/31/2016,28.85,2016-17
153,1/1/2017,28.83,2016-17
154,1/2/2017,29.07,2016-17
155,1/3/2017,29.4,2016-17
156,1/4/2017,29.22,2016-17
157,1/5/2017,29.71,2016-17
158,1/6/2017,29.16,2016-17
159,1/7/2017,29.78,2016-17
160,1/8/2017,29.55,2016-17
161,1/9/2017,29.17,2016-17
162,1/10/2017,28.73,2016-17
163,1/11/2017,28.17,2016-17
164,1/12/2017,28.67,2016-17
165,1/13/2017,29.0,2016-17
166,1/14/2017,29.56,2016-17
167,1/15/2017,29.07,2016-17
168,1/16/2017,29.17,2016-17
169,1/17/2017,28.89,2016-17
170,1/18/2017,29.14,2016-17
171,1/19/2017,29.07,2016-17
172,1/20/2017,30.08,2016-17
173,1/21/2017,29.74,2016-17
174,1/22/2017,30.32,2016-17
175,1/23/2017,30.34,2016-17
176,1/24/2017,30.14,2016-17
177,1/25/2017,29.74,2016-17
178,1/26/2017,29.6,2016-17
179,1/27/2017,29.72,2016-17
180,1/28/2017,30.12,2016-17
181,1/29/2017,29.72,2016-17
182,1/30/2017,29.81,2016-17
183,1/31/2017,29.59,2016-17
184,2/1/2017,29.52,2016-17
185,2/2/2017,29.54,2016-17
186,2/3/2017,29.45,2016-17
187,2/4/2017,29.14,2016-17
188,2/5/2017,29.18,2016-17
189,2/6/2017,29.02,2016-17
190,2/7/2017,28.92,2016-17
191,2/8/2017,28.94,2016-17
192,2/9/2017,28.87,2016-17
193,2/10/2017,28.92,2016-17
194,2/11/2017,29.34,2016-17
195,2/12/2017,29.23,2016-17
196,2/13/2017,29.39,2016-17
197,2/14/2017,29.45,2016-17
198,2/15/2017,29.3,2016-17
199,2/16/2017,29.11,2016-17
200,2/17/2017,29.29,2016-17
201,2/18/2017,29.33,2016-17
202,2/19/2017,29.6,2016-17
203,2/20/2017,29.69,2016-17
204,2/21/2017,29.64,2016-17
205,2/22/2017,29.69,2016-17
206,2/23/2017,29.32,2016-17
207,2/24/2017,29.44,2016-17
208,2/25/2017,29.57,2016-17
209,2/26/2017,29.14,2016-17
210,2/27/2017,29.0,2016-17
211,2/28/2017,28.96,2016-17
212,3/1/2017,29.11,2016-17
213,3/2/2017,29.15,2016-17
214,3/3/2017,29.15,2016-17
215,3/4/2017,28.91,2016-17
216,3/5/2017,29.22,2016-17
217,3/6/2017,29.6,2016-17
218,3/7/2017,29.77,2016-17
219,3/8/2017,29.52,2016-17
220,3/9/2017,29.44,2016-17
221,3/10/2017,29.03,2016-17
222,3/11/2017,29.13,2016-17
223,3/12/2017,29.29,2016-17
224,3/13/2017,29.89,2016-17
225,3/14/2017,29.55,2016-17
226,3/15/2017,29.73,2016-17
227,3/16/2017,30.29,2016-17
228,3/17/2017,30.24,2016-17
229,3/18/2017,29.79,2016-17
230,3/19/2017,30.3,2016-17
231,3/20/2017,29.32,2016-17
232,3/21/2017,29.79,2016-17
233,3/22/2017,29.44,2016-17
234,3/23/2017,30.0,2016-17
235,3/24/2017,29.57,2016-17
236,3/25/2017,29.73,2016-17
237,3/26/2017,29.69,2016-17
238,3/27/2017,29.99,2016-17
239,3/28/2017,29.6,2016-17
240,3/29/2017,29.31,2016-17
241,3/30/2017,29.14,2016-17
242,3/31/2017,29.58,2016-17
243,12/1/2017,27.87,2017-18
244,12/2/2017,27.48,2017-18
245,12/3/2017,28.19,2017-18
246,12/4/2017,28.39,2017-18
247,12/5/2017,28.49,2017-18
248,12/6/2017,28.88,2017-18
249,12/7/2017,28.61,2017-18
250,12/8/2017,28.67,2017-18
251,12/9/2017,28.54,2017-18
252,12/10/2017,28.79,2017-18
253,12/11/2017,28.33,2017-18
254,12/12/2017,28.3,2017-18
255,12/13/2017,28.18,2017-18
256,12/14/2017,28.19,2017-18
257,12/15/2017,28.08,2017-18
258,12/16/2017,28.22,2017-18
259,12/17/2017,28.26,2017-18
260,12/18/2017,28.03,2017-18
261,12/19/2017,28.16,2017-18
262,12/20/2017,28.77,2017-18
263,12/21/2017,28.35,2017-18
264,12/22/2017,28.77,2017-18
265,12/23/2017,28.74,2017-18
266,12/24/2017,28.78,2017-18
267,12/25/2017,28.77,2017-18
268,12/26/2017,29.02,2017-18
269,12/27/2017,28.77,2017-18
270,12/28/2017,28.89,2017-18
271,12/29/2017,28.86,2017-18
272,12/30/2017,29.2,2017-18
273,12/31/2017,29.37,2017-18
274,1/1/2018,29.03,2017-18
275,1/2/2018,28.94,2017-18
276,1/3/2018,28.62,2017-18
277,1/4/2018,29.17,2017-18
278,1/5/2018,29.05,2017-18
279,1/6/2018,29.09,2017-18
280,1/7/2018,29.06,2017-18
281,1/8/2018,28.84,2017-18
282,1/9/2018,28.81,2017-18
283,1/10/2018,28.69,2017-18
284,1/11/2018,28.83,2017-18
285,1/12/2018,28.7,2017-18
286,1/13/2018,28.59,2017-18
287,1/14/2018,28.77,2017-18
288,1/15/2018,29.12,2017-18
289,1/16/2018,28.8,2017-18
290,1/17/2018,28.62,2017-18
291,1/18/2018,28.54,2017-18
292,1/19/2018,28.45,2017-18
293,1/20/2018,28.5,2017-18
294,1/21/2018,28.47,2017-18
295,1/22/2018,28.71,2017-18
296,1/23/2018,28.31,2017-18
297,1/24/2018,28.29,2017-18
298,1/25/2018,28.51,2017-18
299,1/26/2018,28.17,2017-18
300,1/27/2018,28.26,2017-18
301,1/28/2018,28.36,2017-18
302,1/29/2018,28.39,2017-18
303,1/30/2018,28.37,2017-18
304,1/31/2018,28.64,2017-18
305,2/1/2018,28.74,2017-18
306,2/2/2018,29.26,2017-18
307,2/3/2018,29.05,2017-18
308,2/4/2018,28.74,2017-18
309,2/5/2018,28.47,2017-18
310,2/6/2018,28.29,2017-18
311,2/7/2018,27.93,2017-18
312,2/8/2018,28.03,2017-18
313,2/9/2018,28.09,2017-18
314,2/10/2018,28.02,2017-18
315,2/11/2018,28.06,2017-18
316,2/12/2018,28.19,2017-18
317,2/13/2018,28.01,2017-18
318,2/14/2018,28.33,2017-18
319,2/15/2018,28.52,2017-18
320,2/16/2018,28.99,2017-18
321,2/17/2018,28.72,2017-18
322,2/18/2018,28.98,2017-18
323,2/19/2018,28.94,2017-18
324,2/20/2018,29.06,2017-18
325,2/21/2018,28.87,2017-18
326,2/22/2018,29.04,2017-18
327,2/23/2018,28.95,2017-18
328,2/24/2018,28.85,2017-18
329,2/25/2018,28.65,2017-18
330,2/26/2018,28.55,2017-18
331,2/27/2018,28.59,2017-18
332,2/28/2018,28.59,2017-18
